player_id,username,age,country,gender,game_name,game_id,total_games_played,total_wins,total_losses,win_ratio,total_moves,highest_score,rating,churned,player_level,last_played
c89803ee-b419-11ef-9d4e-00155d326b4e,Player00489,75,Singapore,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,13,1,0,88.89,803,78,3,NO,Expert,"2024-11-19 23:16:03"
c80723d0-b419-11ef-9d4e-00155d326b4e,Champion00315,44,Norway,OTHER,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,10,1,0,37.50,598,77,2,YES,Intermediate,"2024-09-11 23:09:17"
c7bf25d9-b419-11ef-9d4e-00155d326b4e,User00229,40,Germany,NON-BINARY,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,11,0,1,20.00,542,68,1,NO,Intermediate,"2024-11-21 23:26:43"
c83fc36b-b419-11ef-9d4e-00155d326b4e,Champion00382,64,Netherlands,NON-BINARY,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,8,0,1,37.50,453,79,2,NO,Intermediate,"2024-02-18 23:23:48"
c73e4798-b419-11ef-9d4e-00155d326b4e,Champion00079,30,"South Africa",FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,10,1,0,100.00,561,79,3,YES,Intermediate,"2024-11-30 23:25:26"
c7161658-b419-11ef-9d4e-00155d326b4e,BoxQueen00030,79,Nigeria,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,3,1,0,66.67,182,74,1,NO,Novice,"2024-07-08 23:06:32"
c78f5c5c-b419-11ef-9d4e-00155d326b4e,User00175,46,Malaysia,NON-BINARY,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,8,1,0,50.00,471,78,2,YES,Intermediate,"2024-09-12 23:19:48"
c7faff15-b419-11ef-9d4e-00155d326b4e,FirePhoenix00300,22,Netherlands,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,9,1,0,85.71,503,73,2,YES,Intermediate,"2024-10-12 23:05:00"
c73473b3-b419-11ef-9d4e-00155d326b4e,StormHawk00067,45,Malaysia,OTHER,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,12,1,0,70.00,673,75,3,YES,Expert,"2024-06-03 23:02:17"
c814d4d1-b419-11ef-9d4e-00155d326b4e,IceHawk00331,28,Malaysia,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,12,0,1,40.00,720,79,3,NO,Intermediate,"2024-11-09 23:03:32"
c717b031-b419-11ef-9d4e-00155d326b4e,TicBoss00032,59,Nigeria,OTHER,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,4,1,0,75.00,220,62,1,YES,Novice,"2024-11-18 23:21:52"
c7236805-b419-11ef-9d4e-00155d326b4e,ChessBoss00046,25,Philippines,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,8,0,1,25.00,462,75,2,YES,Intermediate,"2024-11-13 23:22:54"
c77b8608-b419-11ef-9d4e-00155d326b4e,User00152,17,Malaysia,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,12,0,1,22.22,669,75,1,NO,Intermediate,"2024-05-25 23:20:55"
c7ba011d-b419-11ef-9d4e-00155d326b4e,MasterGamer_00223,28,Germany,MALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,13,0,1,50.00,785,76,3,NO,Expert,"2024-09-05 23:10:47"
c773c367-b419-11ef-9d4e-00155d326b4e,Player00143,53,Malaysia,FEMALE,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,6,1,0,60.00,292,69,2,YES,Novice,"2024-11-09 23:30:32"
c84742ef-b419-11ef-9d4e-00155d326b4e,IceKnight00391,57,Thailand,OTHER,Battleship,d035d6ce-b3e5-11ef-9d4e-00155d326b4e,10,1,0,55.56,535,72,3,NO,Intermediate,"2024-07-12 23:03:59"
